Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
661,Donovan Solano,34,CIN,NL,74,281,257,22,75,15,0,4,24,0,0,17,54,.292,.345,.397,.742,101,102,4,5,0,2,1,D35/H4,solando01
662,Jorge Soler,30,MIA,NL,72,306,270,32,56,13,0,13,34,0,2,31,90,.207,.295,.400,.695,95,108,9,3,0,1,1,7D/H,solerjo01
663,Edmundo Sosa,26,TOT,NL,78,190,176,26,40,11,4,2,21,6,1,5,50,.227,.275,.369,.644,83,65,6,7,1,1,0,65H/D74,sosaed01
664,Lenyn Sosa,22,CHW,AL,11,36,35,3,4,1,0,1,1,0,0,1,12,.114,.139,.229,.367,2,8,2,0,0,0,0,/46DH,sosale01
665,Juan Soto*,23,TOT,NL,147,640,502,91,122,24,2,26,61,6,2,133,88,.243,.405,.454,.860,150,228,12,4,0,0,5,*9/DH,sotoju01
666,Livan Soto*,22,LAA,AL,11,35,32,5,11,2,1,1,5,1,0,2,10,.344,.371,.563,.934,161,18,0,0,0,1,0,6/H,sotoli01
667,Steven Souza Jr.,33,SEA,AL,6,19,19,0,3,0,0,0,1,0,0,0,8,.158,.158,.158,.316,-7,3,2,0,0,0,0,/9D,souzast01
668,Cory Spangenberg*,31,STL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/5,spangco01
669,George Springer,32,TOR,AL,129,567,497,86,130,22,4,24,72,13,1,54,99,.262,.339,.467,.806,128,232,7,7,0,5,1,8D9/H,springe01
670,Jacob Stallings,32,MIA,NL,111,372,337,25,76,12,0,4,33,0,1,28,81,.226,.294,.297,.591,69,100,15,5,1,1,0,*2/HD,stallja01
671,Giancarlo Stanton,32,NYY,AL,106,436,385,50,80,7,0,28,75,0,0,47,133,.208,.292,.444,.736,107,171,8,0,0,3,2,D9/H7,stantmi03
672,Max Stassi,31,LAA,AL,99,365,325,31,59,12,1,8,29,0,0,38,110,.182,.268,.298,.567,61,97,12,1,0,1,0,2/HD,stassma01
673,Josh Staumont,28,KCR,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,staumjo01
674,Drew Steckenrider,31,SEA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,steckdr01
675,Spencer Steer,24,CIN,NL,23,89,77,11,17,3,0,2,6,0,1,10,19,.221,.326,.338,.664,81,26,1,2,0,0,0,5/34DH,steersp01
676,Michael Stefanic,26,LAA,AL,24,67,59,5,12,2,0,0,0,0,0,5,12,.203,.288,.237,.525,52,14,1,2,1,0,0,4/H,stefami01
677,Jackson Stephens,28,ATL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,stephja01
678,Tyler Stephenson,25,CIN,NL,50,183,166,24,53,9,0,6,35,1,0,12,47,.319,.372,.482,.854,130,80,4,3,0,2,0,2/DH3,stephty01
